ID-2996,,5.56,1,0,3,2,5
ID-2966,,4.42,1,0,1,2,1
ID-2032,,4.42,0,0,1,1,3
ID-1158,,5.07,1,0,0,9,2
ID-2888,,5.34,1,0,5,4,3
ID-2980,,6.31,1,0,9,5,6
ID-1038,,5.16,0,0,0,9,4
ID-1170,,4.85,0,0,0,8,4
ID-1236,,5.11,0,0,2,8,1
ID-1058,,5.08,0,0,3,6,2
ID-1080,,4.72,0,0,0,8,3
ID-2862,,4.8,0,0,1,4,3
ID-1172,,4.64,0,0,1,4,1
ID-2838,,5.07,1,0,4,3,2
ID-2866,,4.25,0,0,3,2,1
ID-2858,,3.47,0,0,1,1,2
ID-1186,,4.44,0,0,0,4,2
ID-2904,,3.81,0,0,1,1,2
ID-1218,,4.51,0,0,0,6,0
ID-2854,,3.09,1,0,0,0,1
ID-2882,,4.51,0,0,3,1,2
ID-1260,,4.84,0,0,0,8,3
ID-1220,,6.2,0,0,1,14,6
ID-2852,,5.4,1,0,8,2,4
ID-1068,,4.68,0,0,0,5,1
ID-1176,,4.92,0,0,2,5,4
ID-2944,,4.03,0,0,3,0,2
ID-1048,,3.26,0,0,0,3,2
ID-1086,,3.4,0,0,0,2,0
ID-1214,,4.45,1,0,0,8,2
ID-2938,,5.49,1,0,9,3,5
ID-2020,,4.68,0,0,3,0,3
ID-2936,,4.39,0,0,2,2,2
ID-2798,,4.9,1,0,1,4,4
ID-1148,,4.45,0,0,0,3,2
ID-2846,,4.8,0,0,3,1,2
ID-1040,,5.04,1,0,1,12,2
ID-1050,,4.95,0,0,1,9,2
ID-1250,,3.93,0,0,0,1,2
ID-1140,,4.62,0,0,0,5,0
ID-2926,,4.29,0,0,2,2,2
ID-2878,,4.81,1,0,2,3,2
ID-1240,,5.54,1,0,3,9,4
ID-2892,,4.2,0,0,1,1,0
ID-2832,,4.61,0,0,0,7,3
ID-1070,,3.91,0,0,0,4,1
ID-1090,,4.66,0,0,0,7,1
ID-1198,,4.25,0,0,0,5,0
ID-2816,,5.4,1,0,4,6,3
ID-2864,,3.76,0,0,2,4,1
